"","ExpGroup","Image_Metadata_Region","Image_Count_Cells_mean_mean","Image_Count_Cells_mean_sd","Image_Count_Cells_sum_mean","Image_Count_Cells_sum_sd","Image_Count_Cells_with_nuclei_mean_mean","Image_Count_Cells_with_nuclei_mean_sd","Image_Count_Cells_with_nuclei_sum_mean","Image_Count_Cells_with_nuclei_sum_sd","n_mice"
"1","11% IH","LPGI",28.4345238095238,2.27964294967918,109.857142857143,14.919564557768,26.5654761904762,2.21209248780497,102.642857142857,14.1726016441103,14
"2","11% IH","MR",72.375,18.8219772320306,294.142857142857,75.3329605488524,69.0392857142857,17.9216905385134,280.428571428571,71.0944272247662,14
"3","11% IH","R4",26.8821428571429,7.32956623606003,111.571428571429,35.1452246142604,25.9,7.02030023464918,107.5,33.5209463791499,14
"4","11% IH","RMn",50.0476190476191,8.20977075047384,196.428571428571,34.5202600171023,48.1190476190476,7.77712473274469,188.857142857143,32.7363762452464,14
"5","11% IH","ROb",36.9285714285714,7.44515969811279,127.785714285714,47.9618094407953,34.9404761904762,6.91210295620423,120.785714285714,44.6579798561821,14
"6","11% IH","RPa",56.4357142857143,6.29293409595393,208,32.5292767542386,53.6904761904762,6.25819365232395,197.928571428571,31.9072316030618,14
"7","RA","LPGI",29.05,3.26777192186562,123.307692307692,21.8646770514477,27.1730769230769,3.01887226354308,115.230769230769,19.4814178392036,13
"8","RA","MR",63.6602564102564,13.1704662915245,254.692307692308,69.5825464411211,60.6089743589744,12.5254548512527,242.615384615385,66.6702563136147,13
"9","RA","R4",26.7071428571429,8.78634992786795,109.714285714286,42.5448696562339,25.6892857142857,8.51503599006416,105.714285714286,41.2691513983854,14
"10","RA","RMn",52.7142857142857,9.14459547348194,205,41.2310562561766,50.55,9.07227390713893,196.571428571429,40.7463340223846,14
"11","RA","ROb",38.8346153846154,7.24739564186637,160.846153846154,33.627484180469,36.8679487179487,7.30918518264437,152.692307692308,33.2475177403883,13
"12","RA","RPa",53.4974358974359,7.53576916787974,209.230769230769,33.6356800787345,51.5141025641026,7.49720888235355,201.461538461538,33.2205142058723,13
